Year,Month,Day,Province,City,PM2.5,PM10,SO2,NO2,CO,O3_8h,PM2.5_IAQI,PM10_IAQI,CO_IAQI,NO2_IAQI,SO2_IAQI,O3_8h_IAQI,AQI,首要污染物,空气质量等级
2020,1,1, 北京市 ,北京,35 ,56 ,7 ,49 ,0.81 ,19 ,50 ,53 ,20 ,61 ,7 ,10 ,61 ,二氧化氮(NO2),良
2020,1,2, 北京市 ,北京,51 ,80 ,7 ,64 ,1.19 ,17 ,70 ,65 ,30 ,80 ,7 ,8 ,80 ,二氧化氮(NO2),良
2020,1,3, 北京市 ,北京,50 ,72 ,8 ,65 ,1.22 ,25 ,69 ,61 ,30 ,81 ,8 ,12 ,81 ,二氧化氮(NO2),良
2020,1,4, 北京市 ,北京,43 ,66 ,7 ,59 ,1.12 ,44 ,60 ,58 ,28 ,74 ,7 ,22 ,74 ,二氧化氮(NO2),良
2020,1,5, 北京市 ,北京,61 ,73 ,6 ,66 ,1.34 ,12 ,82 ,62 ,34 ,82 ,6 ,6 ,82 ,细颗粒物(PM2.5),良
2020,1,6, 北京市 ,北京,55 ,32 ,3 ,47 ,0.96 ,32 ,75 ,32 ,24 ,59 ,3 ,16 ,75 ,细颗粒物(PM2.5),良
2020,1,7, 北京市 ,北京,12 ,19 ,4 ,22 ,0.37 ,61 ,17 ,19 ,9 ,28 ,4 ,30 ,30 ,,优
2020,1,8, 北京市 ,北京,17 ,25 ,3 ,32 ,0.46 ,63 ,24 ,25 ,12 ,40 ,3 ,32 ,40 ,,优
2020,1,9, 北京市 ,北京,35 ,39 ,6 ,50 ,0.76 ,39 ,50 ,39 ,19 ,62 ,6 ,20 ,62 ,二氧化氮(NO2),良
2020,1,10, 北京市 ,北京,26 ,33 ,6 ,34 ,0.60 ,62 ,37 ,33 ,15 ,42 ,6 ,31 ,42 ,,优
2020,1,11, 北京市 ,北京,11 ,20 ,3 ,25 ,0.39 ,55 ,16 ,20 ,10 ,31 ,3 ,28 ,31 ,,优
2020,1,12, 北京市 ,北京,19 ,26 ,7 ,33 ,0.49 ,48 ,27 ,26 ,12 ,41 ,7 ,24 ,41 ,,优
2020,1,13, 北京市 ,北京,11 ,20 ,4 ,18 ,0.37 ,61 ,16 ,20 ,9 ,22 ,4 ,30 ,30 ,,优
2020,1,14, 北京市 ,北京,17 ,25 ,4 ,31 ,0.41 ,53 ,24 ,25 ,10 ,39 ,4 ,26 ,39 ,,优
2020,1,15, 北京市 ,北京,49 ,58 ,7 ,57 ,0.92 ,25 ,68 ,54 ,23 ,71 ,7 ,12 ,71 ,二氧化氮(NO2),良
2020,1,16, 北京市 ,北京,41 ,49 ,7 ,48 ,0.94 ,54 ,58 ,49 ,24 ,60 ,7 ,27 ,60 ,二氧化氮(NO2),良
2020,1,17, 北京市 ,北京,72 ,79 ,12 ,66 ,1.45 ,26 ,96 ,64 ,36 ,82 ,12 ,13 ,96 ,细颗粒物(PM2.5),良
2020,1,18, 北京市 ,北京,157 ,154 ,4 ,63 ,2.05 ,22 ,207 ,102 ,51 ,79 ,4 ,11 ,207 ,细颗粒物(PM2.5),重度污染
2020,1,19, 北京市 ,北京,28 ,69 ,2 ,24 ,0.54 ,59 ,40 ,60 ,14 ,30 ,2 ,30 ,60 ,颗粒物(PM10),良
2020,1,20, 北京市 ,北京,10 ,27 ,2 ,18 ,0.35 ,61 ,14 ,27 ,9 ,22 ,2 ,30 ,30 ,,优
2020,1,21, 北京市 ,北京,43 ,56 ,6 ,43 ,0.85 ,43 ,60 ,53 ,21 ,54 ,6 ,22 ,60 ,细颗粒物(PM2.5),良
2020,1,22, 北京市 ,北京,66 ,70 ,8 ,52 ,1.08 ,41 ,89 ,60 ,27 ,65 ,8 ,20 ,89 ,细颗粒物(PM2.5),良
2020,1,23, 北京市 ,北京,56 ,63 ,6 ,36 ,0.94 ,71 ,76 ,56 ,24 ,45 ,6 ,36 ,76 ,细颗粒物(PM2.5),良
2020,1,24, 北京市 ,北京,76 ,77 ,6 ,21 ,0.71 ,72 ,101 ,64 ,18 ,26 ,6 ,36 ,101 ,细颗粒物(PM2.5),轻度污染
2020,1,25, 北京市 ,北京,145 ,161 ,10 ,33 ,0.96 ,69 ,193 ,106 ,24 ,41 ,10 ,34 ,193 ,细颗粒物(PM2.5),中度污染
2020,1,26, 北京市 ,北京,152 ,147 ,11 ,38 ,1.67 ,73 ,202 ,98 ,42 ,48 ,11 ,36 ,202 ,细颗粒物(PM2.5),重度污染
2020,1,27, 北京市 ,北京,158 ,137 ,10 ,37 ,1.80 ,79 ,208 ,94 ,45 ,46 ,10 ,40 ,208 ,细颗粒物(PM2.5),重度污染
2020,1,28, 北京市 ,北京,171 ,147 ,13 ,40 ,2.08 ,109 ,221 ,98 ,52 ,50 ,13 ,58 ,221 ,细颗粒物(PM2.5),重度污染
2020,1,29, 北京市 ,北京,70 ,51 ,7 ,27 ,1.05 ,81 ,94 ,50 ,26 ,34 ,7 ,40 ,94 ,细颗粒物(PM2.5),良
2020,1,30, 北京市 ,北京,46 ,48 ,5 ,27 ,0.81 ,81 ,64 ,48 ,20 ,34 ,5 ,40 ,64 ,细颗粒物(PM2.5),良
2020,1,31, 北京市 ,北京,44 ,47 ,4 ,27 ,0.77 ,79 ,61 ,47 ,19 ,34 ,4 ,40 ,61 ,细颗粒物(PM2.5),良
2020,2,1, 北京市 ,北京,9 ,16 ,2 ,10 ,0.27 ,72 ,13 ,16 ,7 ,12 ,2 ,36 ,36 ,,优
2020,2,2, 北京市 ,北京,31 ,32 ,2 ,11 ,0.43 ,68 ,44 ,32 ,11 ,14 ,2 ,34 ,44 ,,优
2020,2,3, 北京市 ,北京,18 ,28 ,2 ,14 ,0.35 ,67 ,26 ,28 ,9 ,18 ,2 ,34 ,34 ,,优
2020,2,4, 北京市 ,北京,10 ,18 ,2 ,12 ,0.30 ,67 ,14 ,18 ,8 ,15 ,2 ,34 ,34 ,,优
2020,2,5, 北京市 ,北京,26 ,33 ,3 ,18 ,0.61 ,42 ,37 ,33 ,15 ,22 ,3 ,21 ,37 ,,优
2020,2,6, 北京市 ,北京,44 ,38 ,4 ,25 ,1.02 ,38 ,61 ,38 ,26 ,31 ,4 ,19 ,61 ,细颗粒物(PM2.5),良
2020,2,7, 北京市 ,北京,72 ,52 ,4 ,35 ,1.11 ,50 ,96 ,51 ,28 ,44 ,4 ,25 ,96 ,细颗粒物(PM2.5),良
2020,2,8, 北京市 ,北京,60 ,50 ,4 ,30 ,0.83 ,70 ,81 ,50 ,21 ,38 ,4 ,35 ,81 ,细颗粒物(PM2.5),良
2020,2,9, 北京市 ,北京,122 ,109 ,4 ,43 ,1.36 ,59 ,160 ,80 ,34 ,54 ,4 ,30 ,160 ,细颗粒物(PM2.5),中度污染
2020,2,10, 北京市 ,北京,124 ,103 ,4 ,50 ,1.42 ,76 ,163 ,76 ,36 ,62 ,4 ,38 ,163 ,细颗粒物(PM2.5),中度污染
2020,2,11, 北京市 ,北京,182 ,141 ,8 ,56 ,2.35 ,96 ,232 ,96 ,59 ,70 ,8 ,48 ,232 ,细颗粒物(PM2.5),重度污染
2020,2,12, 北京市 ,北京,207 ,145 ,5 ,48 ,2.33 ,112 ,257 ,98 ,58 ,60 ,5 ,60 ,257 ,细颗粒物(PM2.5),重度污染
2020,2,13, 北京市 ,北京,197 ,142 ,3 ,47 ,2.13 ,56 ,247 ,96 ,53 ,59 ,3 ,28 ,247 ,细颗粒物(PM2.5),重度污染
2020,2,14, 北京市 ,北京,50 ,39 ,2 ,17 ,0.85 ,59 ,69 ,39 ,21 ,21 ,2 ,30 ,69 ,细颗粒物(PM2.5),良
2020,2,15, 北京市 ,北京,6 ,11 ,2 ,5 ,0.21 ,69 ,9 ,11 ,5 ,6 ,2 ,34 ,34 ,,优
2020,2,16, 北京市 ,北京,3 ,8 ,2 ,5 ,0.20 ,73 ,4 ,8 ,5 ,6 ,2 ,36 ,36 ,,优
2020,2,17, 北京市 ,北京,7 ,14 ,2 ,13 ,0.26 ,72 ,10 ,14 ,6 ,16 ,2 ,36 ,36 ,,优
2020,2,18, 北京市 ,北京,17 ,23 ,3 ,33 ,0.49 ,62 ,24 ,23 ,12 ,41 ,3 ,31 ,41 ,,优
2020,2,19, 北京市 ,北京,58 ,51 ,10 ,38 ,1.18 ,67 ,79 ,50 ,30 ,48 ,10 ,34 ,79 ,细颗粒物(PM2.5),良
2020,2,20, 北京市 ,北京,109 ,76 ,7 ,30 ,1.42 ,65 ,142 ,63 ,36 ,38 ,7 ,32 ,142 ,细颗粒物(PM2.5),轻度污染
2020,2,21, 北京市 ,北京,75 ,95 ,3 ,21 ,0.79 ,75 ,100 ,72 ,20 ,26 ,3 ,38 ,100 ,细颗粒物(PM2.5),良
