地区,NO₂,SO₂,CO,O₃,PM₁₀,PM₂.₅,质量指数,状况,主要污染物,时间
合肥市,13,5,0.408,57,29,13,29,优,—,2025-10-20 00:00:00
合肥市,14,5,0.465,52,25,13,26,优,—,2025-10-19 00:00:00
合肥市,11,5,0.503,63,15,9,32,优,—,2025-10-18 00:00:00
合肥市,17,7,0.729,78,27,13,39,优,—,2025-10-17 00:00:00
合肥市,22,6,0.834,33,32,22,32,优,—,2025-10-16 00:00:00
合肥市,25,6,0.849,39,44,27,44,优,—,2025-10-15 00:00:00
合肥市,22,6,0.697,45,34,22,34,优,—,2025-10-14 00:00:00
合肥市,20,6,0.675,26,21,12,25,优,—,2025-10-13 00:00:00
合肥市,26,6,0.840,36,65,41,58,良,"颗粒物(PM10),细颗粒物(PM2.5)",2025-10-12 00:00:00
合肥市,21,6,0.807,37,58,35,54,良,颗粒物(PM10),2025-10-11 00:00:00
合肥市,23,7,0.782,97,70,39,60,良,颗粒物(PM10),2025-10-10 00:00:00
合肥市,19,8,0.786,132,42,24,77,良,臭氧8小时,2025-10-09 00:00:00
合肥市,16,7,0.894,129,46,29,75,良,臭氧8小时,2025-10-08 00:00:00
合肥市,13,7,0.884,102,53,35,52,良,"颗粒物(PM10),臭氧8小时",2025-10-07 00:00:00
合肥市,17,7,0.887,116,55,39,64,良,臭氧8小时,2025-10-06 00:00:00
合肥市,32,7,0.994,126,55,37,72,良,臭氧8小时,2025-10-05 00:00:00
合肥市,18,6,0.769,101,36,22,51,良,臭氧8小时,2025-10-04 00:00:00
合肥市,10,7,0.565,69,17,10,35,优,—,2025-10-03 00:00:00
合肥市,13,7,0.807,80,31,20,40,优,—,2025-10-02 00:00:00
合肥市,22,7,0.817,94,33,20,47,优,—,2025-10-01 00:00:00
合肥市,20,6,0.762,72,21,13,36,优,—,2025-09-30 00:00:00
合肥市,18,6,0.792,74,35,24,37,优,—,2025-09-29 00:00:00
合肥市,19,7,0.758,67,29,16,34,优,—,2025-09-28 00:00:00
合肥市,20,7,0.726,79,30,17,40,优,—,2025-09-27 00:00:00
合肥市,14,6,0.620,49,20,12,25,优,—,2025-09-26 00:00:00
合肥市,17,6,0.730,44,10,6,22,优,—,2025-09-25 00:00:00
合肥市,17,7,0.753,38,8,6,22,优,—,2025-09-24 00:00:00
合肥市,17,7,0.743,82,51,29,51,良,颗粒物(PM10),2025-09-23 00:00:00
合肥市,20,7,0.701,115,37,17,63,良,臭氧8小时,2025-09-22 00:00:00
合肥市,22,7,0.698,122,43,23,69,良,臭氧8小时,2025-09-21 00:00:00
合肥市,14,6,0.535,69,22,12,35,优,—,2025-09-20 00:00:00
合肥市,19,7,0.620,73,30,13,37,优,—,2025-09-19 00:00:00
合肥市,13,6,0.510,73,22,9,37,优,—,2025-09-18 00:00:00
合肥市,14,6,0.609,84,24,13,42,优,—,2025-09-17 00:00:00
合肥市,16,7,0.669,119,37,22,66,良,臭氧8小时,2025-09-16 00:00:00
合肥市,16,7,0.692,111,25,12,60,良,臭氧8小时,2025-09-15 00:00:00
合肥市,19,6,0.639,78,23,12,39,优,—,2025-09-14 00:00:00
合肥市,16,6,0.604,76,19,11,38,优,—,2025-09-13 00:00:00
合肥市,13,7,0.626,103,24,14,53,良,臭氧8小时,2025-09-12 00:00:00
合肥市,18,7,0.669,123,36,18,70,良,臭氧8小时,2025-09-11 00:00:00
合肥市,18,7,0.705,89,28,14,45,优,—,2025-09-10 00:00:00
合肥市,16,6,0.589,81,24,11,41,优,—,2025-09-09 00:00:00
合肥市,15,6,0.733,123,42,24,70,良,臭氧8小时,2025-09-08 00:00:00
合肥市,17,6,0.789,170,48,31,110,轻度污染,臭氧8小时,2025-09-07 00:00:00
合肥市,14,6,0.726,86,38,26,43,优,—,2025-09-06 00:00:00
合肥市,23,7,0.789,153,42,26,95,良,臭氧8小时,2025-09-05 00:00:00
